channel,mae_analysis_std,mae_bg_std,rmse_analysis_std,rmse_bg_std,bias_analysis_std,bias_bg_std,std_era5,mae_climatology_std,mean_abs_analysis_minus_bg,mae_analysis_phys,mae_bg_phys,improve_pct
r600,0.170375001136491,0.17054495530832964,0.25345519125706695,0.25348593583945433,-0.002262176339206387,-0.01159507146212062,27.53534507751465,0.926311294499771,0.018565171955560445,4.691334448875231,4.69601419564417,-0.34649914601974213
r700,0.18987912169888488,0.18974953410389658,0.2734091349071803,0.2730901322759059,-0.0021684837044740916,-0.005325759317957875,25.26750946044922,0.9481719871958825,0.01512442620245965,4.797772503868362,4.7944981480860385,-0.34649914601974213
r850,0.20886136130681113,0.20666798220158206,0.2866868255524223,0.28431293987756334,0.0003219767953741099,-0.012132645352164758,21.396488189697266,0.957254131722363,0.03450112427838411,4.468899650485278,4.421969040364715,-0.34649914601974213
r925,0.2546209062848772,0.24787818750327906,0.34504672296314953,0.33755352406811057,0.005021016198655043,0.00010239948010269975,15.266214370727539,1.373437022673778,0.061452700949122765,3.8870973386138625,3.784161548252454,-0.34649914601974213
r1000,0.2670876010433658,0.26029888465145423,0.3610214914545457,0.35335689655933356,0.006018021880707025,0.007301084802955644,12.206788063049316,1.1946013741033272,0.06620855524717524,3.2602817402046362,3.1774133179884223,-0.34649914601974213
t2m,0.08799267080677298,0.08882486210637913,0.12382310545999647,0.12511336715667945,0.008194495789679415,0.011636984335197198,5.9033050537109375,1.708165300343645,0.015286663134601673,0.5194475782631458,0.524360257367765,-0.34649914601974213
u10,0.10699192957709269,0.1067824338090871,0.15034031687286567,0.1501256308934508,-0.00036668354865977763,0.0020339747936770737,3.936750888824463,0.6354880312219789,0.0107290495184315,0.421200573859664,0.42037584120876303,-0.34649914601974213
v10,0.10516903114551736,0.10508732587281018,0.14694879132150424,0.14692458004027092,0.00040263902909953663,-0.0002973118358915979,3.9309120178222656,0.5928830760913891,0.00968904223051991,0.4134102084326383,0.41308903219423426,-0.34649914601974213
msl,0.02666833449050475,0.026179607942136363,0.0357554312394598,0.0351176073515326,-0.001009655307810094,-0.001414461941327513,809.6221313476562,1.078252219548301,0.007123807822973883,21.59127380969467,21.19558997995847,-0.34649914601974213
tp,0.33004555246170736,,0.8958751857508026,,-0.15591499109503326,,0.4102828800678253,0.8550503257943802,,0.13541203981756583,,-0.34649914601974213
